date,original_tweet_text,tweet
Thu Feb 03 16:13:50 +0000 2022,"jujur ga kerasa impact gede pas ptm soalnya per mapel set jam-sejam, materinya juga yg diajarin materi basic yang murid biasanya udah dapet dari lbb. mending balik pjj ajasih https://t.co/hgqkT1LQwi",jujur kerasa impact gede ptm mata pelajaran jam jam materinya diajarin materi basic murid biasanya udah dari lebih mending balik pjj aja
Thu Feb 03 13:52:07 +0000 2022,"@tempodotco Anak2 sekolah rata2 sdh vaksin 1 dan 2... Utk booster sebagian. PTM aturan tetap 5M.. Terus salahnya dmn'? Info Samarintah... Omicron beda dgn delta.. Mmg dgn PTM dihentikan terus ngaruh'... Sdh 2thn msh seperti ini, Sbnya ya tetap jln dgn prokes ketat dan jgn lupa jaga imun tbh",anak sekolah rata sudah vaksin booster sebagian ptm aturan tetap salahnya info omicron beda delta emg ptm dihentikan ngaruh sudah sbnya tetap jalan prokes ketat jangan lupa jaga imun
Thu Feb 03 13:51:49 +0000 2022,RT @CNNIndonesia: Aturan Main dan Syarat Sekolah Setop PTM 100 Persen https://t.co/PaWuVREsEw,aturan main syarat sekolah stop ptm persen
Thu Feb 03 13:51:48 +0000 2022,"RT @AZHARFRS: Wah, makin lama makin arogan dan nggak masuk akal nih himbauan satgas @satgascovid19id, berarti pemulihan ekonomi itu cuma om…",wah makin lama makin arogan masuk akal himbauan satgas berarti pemulihan ekonomi cuma om
Thu Feb 03 13:51:40 +0000 2022,"RT @linostival: gw pengen ptm 100% cepat kembali, kalo daring gw tambah tolol",gue pengen ptm cepat kembali kalau daring gue tolol
Thu Feb 03 13:51:21 +0000 2022,"@jeonjekq Di rumah aja sih, HAHAHA. Oke ndak lucu 🤦🏻‍♀️. Akhir akhir ini banyaaaak banyaaaak banget tugas plus udah ptm, jadi lebih fokus ke itu dulu sih",rumah aja haha oke ndak lucu banyak banyak banget tugas plus sudah ptm jadi lebih fokus
Thu Feb 03 13:50:55 +0000 2022,@schfess ptm 50% pls,ptm pls
Thu Feb 03 13:50:43 +0000 2022,mau ptm kek mau pjj kek gue juga gk akan dapet uang saku KWKWWWK,mau ptm kayak mau pjj kayak gue dapet uang saku wkwk
Thu Feb 03 13:50:21 +0000 2022,"Wow saya sepertinya kena covid....

Omicron bgt ni gejalanya....
Mana mau kuliah PTM...",wow saya sepertinya kena covid omicron banget gejalanya mau kuliah ptm
Thu Feb 03 13:48:23 +0000 2022,"tuh giliran w dah semangat ptm, sekola w malah mulai pjj lagi njem",giliran dah semangat ptm sekolah malah mulai pjj lagi njir
Thu Feb 03 13:48:20 +0000 2022,"Anak sekolag dikasih ptm cmn sebulan, kambek pjj 🥺",anak sekolah dikasih ptm cuma kambek pjj
Thu Feb 03 13:48:12 +0000 2022,RT @tamerlane9470: Jadi kapan PTM bisa dimulai lagi? Jadi kapan tas tes tos dihentikan? Jadi kapan aturan wajib vaksin dicabut? Jadi kapan…,jadi ptm dimulai lagi jadi tas tes tes dihentikan jadi aturan wajib vaksin dicabut jadi
Thu Feb 03 13:48:09 +0000 2022,Pgn PTM tp males bgt anjrit. Tp kl gk PTM 50% ak jd bego,pengen ptm males banget anjir kalau ptm aku jadi bego
Thu Feb 03 13:34:33 +0000 2022,ini kalo gak offline mah gpp lah ini full ptm astagaa 👎🏻 bintang 1 untuk kampusku,kalau offline mah full ptm astaga bintang kampusku
Thu Feb 03 13:34:24 +0000 2022,@HeraldJabar Udh PTM di tutup 100% buat ngurangin kasus pandemi ini malah pihak mall buat kerumunan,sudah ptm tutup buat ngurangin kasus pandemi malah pihak mall buat kerumunan
Thu Feb 03 07:06:52 +0000 2022,"@convomf Kelasku ada yg covid 1, trus 4 anak (termasuk aku) demam tinggi + tenggorokan sakit + pusing, tapi tetep aja PTM ngga di stop, kan bahaya kalau nular ke yg lain 😔",kelas ada covid lalu anak termasuk aku demam tinggi tenggorokan sakit pusing tetap aja ptm stop bahaya kalau nular
Thu Feb 03 13:29:43 +0000 2022,"kl ptm juga ya,enak buat jwb prtanyaan guru, kl pjj susa bgt open mic",kalau ptm enak buat jawab pertanyaan guru kalau pjj susah banget open mic
