id,created_at,source,original_tweet,,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.50642E+18,Wed Mar 23 00:02:33 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sedikit amat yang ptm,,in,0,0,caramellaviette,,,,(she/they) 08z,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:02:15 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@rosehweon pagi zu lu ptm ga?,,in,0,0,skiodubu,,,rosehweon,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:02:13 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@lovingparkjw pagii! semangat ptm 😻,,in,0,0,paypaukdy,,,lovingparkjw,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:01:59 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@asahikunie_ wuidih ptm ya, semangattt zaaa",,in,0,0,dannysskies,,,asahikunie_,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:01:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kalian pjj/ptm?,,in,0,0,jaemsukie,,,,non sbt related dnf!,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:01:30 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@maujadiairaja iya nih besok baru mulai sekolah ptm lagi, sebenarnya ini online sih tapi belum ada absen/tugas .
belum sarapan nih baru bangun",,in,0,0,veleeeapio,,,maujadiairaja,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:01:19 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SELAMAT PAGIII siapa ptm 🙋🏻‍♀️🙋🏻‍♀️,,in,0,0,croissaut,,,,she/her,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:00:47 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@skiesgumi ptm bro, luu?",,in,0,0,milftobio,,,skiesgumi,anypro,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:00:46 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PERTAMA KALI PTM TBTBTBTBBTBTBT https://t.co/EIsfW0LHuM,,in,1,0,SOLDlERB0Y,FALSE,,,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:00:37 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@skiesgumi ptm ,hbu?",,in,0,0,sanojeyyi,,,skiesgumi,legal(she/her),
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:00:19 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",siapa yg libur? siapa yg ptm? ayo cunggg,,in,0,0,RAELYTALE,,,,"s!her | Hamburg, Germany ",
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:00:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@uangrenjunh pagii, belum nih, aku ptm soalnya ada pts",,in,0,0,nanabilyeah,,,uangrenjunh,,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:59:46 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PTM YANK HADEH JANCOK TENAN IKI - azza,,in,0,0,depresyen,,,,,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:59:45 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@sentencesho nuna ptm apa pjj hari ini,,in,0,0,skiesgumi,,,sentencesho,he/they. ar56 asia,
,,,,,,,,,,,,,
1.50642E+18,Tue Mar 22 23:59:38 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hari ini sesi ku ga ptm yeayy,,in,0,0,nazaitsnaa,,,,,
,,,,,,,,,,,,,
