original_tweet,sentiment_result
ptm enak lebih akrab sama temen sekelas ketawa bareng temen sekelas walaupun pjj sambil rebahan susah buat mengerti materi jadi ofc enak ptm,25
tenaga kesehatan teriak covid disisi ptm anak sekolah batal disisi lagi mall tempat kuliner hiburan pasar rame lalu mau hehe,0
gue ngebayangin ptm soal absen gue jadi genap aaaaaaa anjing,-18
keren ptm,0
ptm denger katanya mau pjj lagi aku lebih suka pjj,4
gatau dah besok kelanjutannya besok ptm,-4
pjj soalnya kalau pjj kaya fleksibel aja waktunya kalau ptm capek banget asli bener bener kuat,15
anak saya kelas sma keluarkan oleh pihak sekolah karena memilih mengikuti ptm,-15
tim ptm soalnya kalau pjj kaya libur gurunya kalau pjj suka kasih materi bentar tiba uh sebel,-3
gua ptm aja ya,2
ptm seru bareng temen pjj tugasnya makin banyak,13
buat ptm semangat ya,9
terlanjur nyaman ptm meskipun pulang pulang encok,-2
dah ada pilihan buat tua ptm pjj,4
yahhh masa nanti ptm lagi,-8
pls ptm jangan sampai pakai absen ganjil genap mending aja shshsjdjd,-5
ya allah mau ptm,14
beneran ptm,3
bukannya siswa diijinkan memilih ptm online mas atas ijin tuanya,-7
sudah ptm lagi ditempatku ptm bang anak sd buset jajan berkerumun,-7
semangat nder semoga cepat balik ptm lagi,1
aneh banget ptm anak kelas aja soalnya sibuk,1
pjj niss gajadi ptm gegara word lagi naik,-8
anjing masa sudah ptm dikasih tugas gcr,2
katanya tak begejala bergejala ringan ptm dki tetap dilanjutkan kalau ngerasa sakit segera pcr diuntungkan dari situasi seperti,-6
pagi enak banget ptm,7
