created_at,username,tweet
2022-02-02 04:08:36+00:00,Pol4rist4r,my husband plak x bg booster dulu tunggu lepas beranak sbb mas st dose dah keguguran btw kami family dah pernah kena covid alhamdulillah cat sahaja walaupun masa tu x vaksin lagi 
2022-02-02 04:08:29+00:00,CanisMajorAlpha,anak belom tinggi cakupan vaksin belom semua kategori umur masuk belom banyak dosis komplit jumlah bed picu memang tidak banyak ngei ga goblok 
2022-02-02 04:08:27+00:00,aiamladahitam,huhuu gumawooo jjur w udah cape vaksin tp gk dapet ap apaa pkm w pelit bgt makanya pengen cepet rs aja tp takut jg udah mulai naik omnicornnn 
2022-02-02 04:08:18+00:00,FatakhurojiP,hanya umat islam yang jadi sasaran seolah penyebaran virus corona sumbernya dari perayaan hari besar islam saja ini disk 
2022-02-02 04:08:17+00:00,PutraRjw,vaksin covid terbukti secara medis aman untuk anak prokes tangkal omicron 
2022-02-02 04:08:16+00:00,sendioramadhan,mendengar percakapan anak sd gue abis vaksin goyang goyang beuh enaak 
2022-02-02 04:08:14+00:00,dyblueskymark,ya allah rb kasus harian aku khawatir sama siswa mahasiswa yang saat ini lagi tatap muka sih apalagi banyak yg belum pada v 
2022-02-02 04:08:13+00:00,satukanalcom,mania bikin filter instagram untuk dukung tim macan putih dari rumah mulai meningkatnya kasus positif covid di baca selengkapnya 
2022-02-02 04:08:10+00:00,mihrabku,saya gak share rekening bank ya karena saya kelola anak anak yatim mengelola sendiri kalau ada rezeki santunan kalau tak ada ya ditunda alhamdulillah sudah jalan tiga tahun selama ada pandemi corona per jumat 
2022-02-02 04:08:04+00:00,BigGuzz,menuju tahun covid kementerian kesehatan mengumumkan indonesia resmi masuk gelombang ketiga jadi gini kata preside 
2022-02-02 04:08:04+00:00,herald_id_,ppkm diperpanjang di seluruh indonesia begini aturan terbarunya 
2022-02-02 04:08:02+00:00,caeriszen,ya allah rb kasus harian aku khawatir sama siswa mahasiswa yang saat ini lagi tatap muka sih apalagi banyak yg belum pada v 
2022-02-02 04:08:01+00:00,777__lovesite,dinas kesehatan pesawaran mempercepat vaksinasi tahap satu kepada masyarakat hal itu sebagai upaya pencegahan penyebaran covid varian omicron 
2022-02-02 04:08:00+00:00,kompascom,tonga akan memasuki situasi lockdown akibat covid pada rabu ini hal ini terjadi setelah virus corona terdeteksi di negara kecil dekat selandia baru itu 
2022-02-02 04:07:59+00:00,BalonkuLim15,blackangel cipeng yg vaksin rerata karena dipaksa gak bisa ini itu kalau gak vaksin jd mereka yg mentalnya lemah memilih vaksin aja 
2022-02-02 04:07:57+00:00,ShibaToTheMoon,semenjak ada bisnis pcr entah kenapa mulai agak ragu kalo corona masih ada beneran ada atau cuma diadakan biar bisnisnya lancar 
2022-02-02 04:07:56+00:00,peceyongs,kita ga butuh vaksin kita pakai imun alami saja anugrah tuhan makan bergizi istirahat cukup bahagia dan tidak panik n 
